Running in GHA mode.
Auto-detected latest run: 2026-03-05 00:00 UTC
================================================================
Run init  : 2026-03-05 00:00 UTC (00Z)
Fcst hrs  : 0 to 72
Base URL  : https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/05/00/
Local dir : data/WRF_downloads/20260305
Exclude   : inv
================================================================

Fetching file list from server...
Files in window: 221
  ctl     : 74
  grib2   : 73
  grib2.idx: 74

Already on disk: 10  |  To download: 211


Attaching package: ‘progressr’

The following object is masked from ‘package:httr’:

    progress


[131/211] OK  h046 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030622.grib2.idx
[132/211] OK  h047 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030623.ctl
[133/211] OK  h047 |  200.36 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030623.grib2
[134/211] OK  h047 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030623.grib2.idx
[135/211] OK  h048 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030700.ctl
[136/211] OK  h048 |  198.81 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030700.grib2
[137/211] OK  h048 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030700.grib2.idx
[138/211] OK  h049 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030701.ctl
[139/211] OK  h049 |  199.07 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030701.grib2
[140/211] OK  h049 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030701.grib2.idx
[141/211] OK  h050 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030702.ctl
[142/211] OK  h050 |  198.36 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030702.grib2
[143/211] OK  h050 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030702.grib2.idx
[144/211] OK  h051 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030703.ctl
[145/211] OK  h051 |  197.86 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030703.grib2
[146/211] OK  h051 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030703.grib2.idx
[147/211] OK  h052 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030704.ctl
[148/211] OK  h052 |  197.70 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030704.grib2
[149/211] OK  h052 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030704.grib2.idx
[150/211] OK  h053 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030705.ctl
[151/211] OK  h053 |  197.97 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030705.grib2
[152/211] OK  h053 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030705.grib2.idx
[153/211] OK  h054 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030706.ctl
[154/211] OK  h054 |  198.45 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030706.grib2
[155/211] OK  h054 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030706.grib2.idx
